광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
서울특별시	동대문구	청량리동	소계	18205	13261	4944	47	13214	4692	3828	3135	786	704	29	3	12	4	9	3	2	7
서울특별시	동대문구	회기동	소계	9546	7652	1894	30	7622	3614	1325	1360	660	628	7	0	2	2	12	6	1	5
서울특별시	동대문구	휘경제1동	소계	10269	7441	2828	22	7419	2997	1753	1689	450	493	12	0	7	1	3	2	5	7
서울특별시	동대문구	휘경제2동	소계	17753	13975	3778	45	13930	5887	3040	3063	863	1006	19	7	14	0	13	6	3	9
서울특별시	동대문구	이문제1동	소계	21656	15831	5825	73	15758	6470	3540	3457	1116	1099	18	2	8	3	16	16	6	7
서울특별시	동대문구	이문제2동	소계	16356	12659	3697	34	12625	5270	2794	2904	815	781	20	2	12	1	9	6	4	7
서울특별시	중랑구	거소·선상투표	거소·선상투표	630	598	32	20	578	212	111	192	30	24	3	2	1	0	0	1	1	1
서울특별시	중랑구	관외사전투표	관외사전투표	28364	28358	6	165	28193	13462	4327	6099	1955	2207	27	5	24	14	17	8	8	40
서울특별시	중랑구	재외투표	재외투표	2371	1813	558	6	1807	1173	146	235	57	189	4	0	0	0	1	0	1	1
서울특별시	중랑구	면목본동	소계	29571	20758	8813	78	20680	8575	4352	5124	1204	1331	29	2	12	6	12	6	11	16
서울특별시	중랑구	면목제2동	소계	20766	14488	6278	51	14437	5924	3168	3587	784	914	19	0	12	9	5	4	2	9
서울특별시	중랑구	면목제3·8동	소계	21515	15077	6438	44	15033	6113	3461	3648	834	879	25	3	18	2	15	3	12	20
서울특별시	중랑구	면목제4동	소계	16902	12334	4568	47	12287	5120	2718	2995	689	713	21	1	4	6	9	0	2	9
서울특별시	중랑구	면목제5동	소계	8565	6004	2561	30	5974	2570	1125	1553	305	399	5	1	3	0	3	2	1	7
서울특별시	중랑구	면목제7동	소계	18125	13127	4998	44	13083	5329	3070	3089	738	789	27	1	8	6	12	2	3	9
서울특별시	중랑구	상봉제1동	소계	18595	14231	4364	53	14178	5944	2985	3312	921	925	32	2	13	3	13	3	4	21
서울특별시	중랑구	상봉제2동	소계	15166	10714	4452	42	10672	4478	2341	2490	645	683	14	1	4	1	8	3	2	2
서울특별시	중랑구	중화제1동	소계	16289	12240	4049	36	12204	5137	2509	2983	727	802	13	1	3	1	9	4	7	8
서울특별시	중랑구	중화제2동	소계	22762	15225	7537	55	15170	5978	3462	3895	863	904	28	5	8	5	4	4	4	10
