광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	정당	득표수
부산광역시	2600	사하구	284656	128358	126541	1817	156298	민주당	2373
부산광역시	2600	금정구	209276	103939	102094	1845	105337	민주당	1829
부산광역시	2600	강서구	44796	26884	26106	778	17912	민주당	675
부산광역시	2600	연제구	172349	84789	83506	1283	87560	민주당	1565
부산광역시	2600	수영구	143359	67639	66635	1004	75720	민주당	1183
부산광역시	2600	사상구	212267	98086	96737	1349	114181	민주당	2095
부산광역시	2600	중구	43062	22766	22193	573	20296	민주노동당	2397
부산광역시	2600	서구	112683	55036	53733	1303	57647	민주노동당	5896
부산광역시	2600	동구	89864	46769	45240	1529	43095	민주노동당	5166
부산광역시	2600	영도구	131447	63269	62019	1250	68178	민주노동당	7934
부산광역시	2600	부산진구	325963	157491	155105	2386	168472	민주노동당	20342
부산광역시	2600	동래구	216997	107494	105996	1498	109503	민주노동당	13028
부산광역시	2600	남구	238368	116835	115088	1747	121533	민주노동당	15648
부산광역시	2600	북구	248396	117436	115873	1563	130960	민주노동당	15583
부산광역시	2600	해운대구	309668	145645	143503	2142	164023	민주노동당	18480
부산광역시	2600	기장군	61953	36131	35241	890	25822	민주노동당	4575
부산광역시	2600	사하구	284656	128358	126541	1817	156298	민주노동당	16366
부산광역시	2600	금정구	209276	103939	102094	1845	105337	민주노동당	12511
부산광역시	2600	강서구	44796	26884	26106	778	17912	민주노동당	3105
부산광역시	2600	연제구	172349	84789	83506	1283	87560	민주노동당	10210
부산광역시	2600	수영구	143359	67639	66635	1004	75720	민주노동당	7820
부산광역시	2600	사상구	212267	98086	96737	1349	114181	민주노동당	11536
대구광역시	2700	중구	66126	35272	34443	829	30854	열린우리당	4223
대구광역시	2700	동구	267710	129209	127442	1767	138501	열린우리당	18534
대구광역시	2700	서구	194812	92265	90897	1368	102547	열린우리당	10090
대구광역시	2700	남구	145954	70018	69000	1018	75936	열린우리당	8517
대구광역시	2700	북구	341531	159684	157841	1843	181847	열린우리당	20562
대구광역시	2700	수성구	320246	157444	155769	1675	162802	열린우리당	18465
대구광역시	2700	달서구	432607	206958	204900	2058	225649	열린우리당	24826
대구광역시	2700	달성군	116057	64167	62576	1591	51890	열린우리당	8326
대구광역시	2700	중구	66126	35272	34443	829	30854	한나라당	27334
대구광역시	2700	동구	267710	129209	127442	1767	138501	한나라당	97415
대구광역시	2700	서구	194812	92265	90897	1368	102547	한나라당	71780
대구광역시	2700	남구	145954	70018	69000	1018	75936	한나라당	54456
대구광역시	2700	북구	341531	159684	157841	1843	181847	한나라당	121636
대구광역시	2700	수성구	320246	157444	155769	1675	162802	한나라당	124351
대구광역시	2700	달서구	432607	206958	204900	2058	225649	한나라당	158809
대구광역시	2700	달성군	116057	64167	62576	1591	51890	한나라당	45009
대구광역시	2700	중구	66126	35272	34443	829	30854	민주노동당	2551
대구광역시	2700	동구	267710	129209	127442	1767	138501	민주노동당	10508
대구광역시	2700	서구	194812	92265	90897	1368	102547	민주노동당	8019
대구광역시	2700	남구	145954	70018	69000	1018	75936	민주노동당	5496
대구광역시	2700	북구	341531	159684	157841	1843	181847	민주노동당	14329
대구광역시	2700	수성구	320246	157444	155769	1675	162802	민주노동당	11884
