광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민실향안보당	기독당	문화예술당	민주노동당	시민당	신미래당	자유선진당	직능연합당	진보신당	창조한국당	친박연대	통합민주당	평화통일가정당	한국사회당	한나라당
경기도	4100	화성시	284683	111093	109583	1510	173590	190	3228	155	7559	94	60	4538	67	3201	5082	15759	25163	910	148	43429
경기도	4100	시흥시	277569	108606	107321	1285	168963	86	3688	143	5339	78	42	4637	75	2888	4758	9845	34586	799	104	40253
경기도	4100	군포시	204940	98549	97538	1011	106391	90	2443	116	4164	44	31	4763	64	3859	5500	9579	28940	626	57	37262
경기도	4100	하남시	107321	48936	48281	655	58385	80	1574	79	1828	25	25	2648	82	1292	1901	5792	13770	426	49	18710
경기도	4100	파주시	229631	97699	95965	1734	131932	151	2380	146	6488	65	53	3276	69	2622	3508	10426	21280	935	125	44441
경기도	4100	여주군	82472	40163	39218	945	42309	104	977	136	1974	70	78	1629	46	707	1295	8528	5248	492	102	17832
경기도	4100	이천시	145057	62050	61092	958	83007	100	2338	399	3182	117	55	4454	46	1150	2242	10047	9926	967	150	25919
경기도	4100	용인시처인구	152093	66480	65250	1230	85613	85	1761	96	2441	59	28	2166	62	1243	2291	11427	16565	501	72	26453
경기도	4100	용인시수지구	214394	104656	103933	723	109738	465	2167	112	2803	36	27	4395	38	4209	5006	14459	21136	359	42	48679
경기도	4100	용인시기흥구	219937	94402	93694	708	125535	126	2476	75	4515	31	29	3794	43	3746	4915	12600	21965	544	41	38794
경기도	4100	안성시	126303	52559	51221	1338	73744	68	1472	97	2865	73	37	6416	45	1170	1956	6811	8040	670	106	21395
경기도	4100	김포시	153364	68417	67542	875	84947	97	1953	67	2344	49	36	3280	92	1726	2544	8980	15134	380	65	30795
경기도	4100	광주시	173590	69131	68255	876	104459	117	2071	94	2244	43	40	3918	54	1534	2625	7876	15413	1017	74	31135
경기도	4100	포천시	121600	56128	54615	1513	65472	1090	1364	128	2556	85	59	1741	50	889	1726	6530	10354	657	156	27230
경기도	4100	연천군	36617	19060	18504	556	17557	423	333	29	688	32	24	619	15	295	530	2230	4059	368	63	8796
경기도	4100	양평군	71224	35050	34100	950	36174	74	629	54	1073	61	30	1148	40	607	1040	4155	5173	495	80	19441
경기도	4100	가평군	44961	24896	24075	821	20065	48	618	51	893	49	26	798	78	287	740	2497	5667	948	102	11273
강원도	4200	춘천시	197867	101693	99956	1737	96174	321	2102	137	6235	125	82	14086	147	2586	4573	10954	15641	1453	161	41353
강원도	4200	원주시	223872	95775	94060	1715	128097	158	1470	125	7603	95	78	6131	67	2378	3753	12253	16487	1121	195	42146
강원도	4200	강릉시	170344	85271	83237	2034	85073	253	2903	195	4747	190	125	3566	112	2562	4029	12023	10220	1489	318	40505
강원도	4200	동해시	74005	38673	37555	1118	35332	1132	573	79	1963	69	55	1618	44	1010	1483	6539	4775	797	110	17308
강원도	4200	삼척시	56810	32189	31184	1005	24621	865	390	70	1589	63	48	1308	44	617	949	4891	3400	855	139	15956
강원도	4200	태백시	41060	20995	20518	477	20065	24	163	26	846	32	16	695	31	652	664	3307	4595	196	43	9228
강원도	4200	정선군	34374	19363	18719	644	15011	23	184	21	825	30	23	734	19	384	437	2173	5223	369	95	8179
강원도	4200	속초시	64444	32334	31630	704	32110	535	553	70	1805	58	26	1298	55	793	1149	3834	5573	455	83	15343
강원도	4200	고성군	24727	14358	13908	450	10369	412	364	40	744	28	20	538	22	127	330	1369	2244	186	95	7389
강원도	4200	양양군	23172	13032	12609	423	10140	263	254	32	629	33	15	577	21	206	323	1319	2268	237	79	6353
강원도	4200	인제군	24780	13347	13001	346	11433	17	181	29	724	16	22	972	24	172	389	1267	3351	280	56	5501
강원도	4200	홍천군	55602	33175	32082	1093	22427	42	658	37	1663	42	31	1085	24	426	858	2865	9096	661	106	14488
강원도	4200	횡성군	35260	20258	19594	664	15002	17	558	25	1033	32	23	1706	35	287	518	1867	4328	303	95	8767
강원도	4200	영월군	33056	19230	18762	468	13826	24	272	32	751	29	20	696	26	250	462	1923	5608	347	99	8223
강원도	4200	평창군	35633	19096	18518	578	16537	18	316	22	772	21	25	601	20	248	505	1809	5406	632	99	8024
강원도	4200	화천군	17949	10804	10445	359	7145	15	151	17	753	15	8	470	15	120	287	979	2816	293	44	4462
강원도	4200	양구군	16545	10030	9754	276	6515	16	132	17	664	16	9	398	14	109	275	911	2830	248	36	4079
강원도	4200	철원군	37266	21075	20475	600	16191	45	468	19	1495	22	31	689	20	272	471	1795	5247	374	63	9464
충청북도	4300	청주시상당구	183981	83440	82571	869	100541	141	1980	116	3646	95	54	11514	72	1828	3015	9859	22581	796	131	26743
충청북도	4300	청주시흥덕구	280985	125782	124702	1080	155203	184	3198	159	7138	92	67	18711	111	3351	4945	17087	31676	1163	178	36642
충청북도	4300	충주시	157660	81990	80482	1508	75670	71	1618	87	4225	78	54	4414	77	1180	3015	8513	21783	699	212	34456
충청북도	4300	제천시	105634	50853	49794	1059	54781	637	1309	98	4550	123	64	5831	63	935	1626	7097	6796	516	201	19948
충청북도	4300	단양군	26425	14249	13898	351	12176	128	282	33	1027	31	32	1400	21	188	417	1972	2022	240	88	6017
충청북도	4300	청원군	111765	55144	54064	1080	56621	101	1237	96	2507	96	59	6950	44	1045	1757	5399	15493	1854	209	17217
충청북도	4300	영동군	41186	25535	24837	698	15651	56	550	41	1207	56	44	4598	40	409	615	2765	3418	441	104	10493
충청북도	4300	보은군	29387	18963	18412	551	10424	43	296	34	946	61	42	5811	41	318	454	1907	2746	345	82	5286
충청북도	4300	옥천군	44207	26688	25816	872	17519	49	520	60	1401	95	63	7503	62	444	602	3001	4791	560	126	6539
충청북도	4300	음성군	68669	32601	31894	707	36068	101	685	68	1786	65	60	3695	47	512	909	4209	9376	586	123	9672
충청북도	4300	진천군	46487	24135	23690	445	22352	72	420	46	1645	39	22	2463	45	382	654	2711	6068	451	82	8590
충청북도	4300	괴산군	31453	17246	16775	471	14207	83	288	44	1127	46	39	2020	40	234	384	2613	3709	1064	116	4968
충청북도	4300	증평군	23692	10812	10640	172	12880	27	183	27	512	20	14	1611	14	155	324	1667	2740	206	30	3110
충청남도	4400	천안시	386020	162895	160539	2356	223125	153	4547	192	8392	141	93	44275	133	3542	5595	13364	29108	1975	220	48809
충청남도	4400	공주시	99916	47945	46703	1242	51971	105	1118	81	2799	107	101	22170	59	685	1174	3041	4254	491	111	10407
충청남도	4400	보령시	84826	43891	42387	1504	40935	82	882	46	1757	70	59	18980	51	554	823	2436	4016	611	122	11898
충청남도	4400	아산시	173908	78023	76426	1597	95885	98	2481	102	4403	88	60	26795	93	1559	2079	5608	9847	1168	96	21949
충청남도	4400	서산시	116061	56245	54647	1598	59816	76	1451	92	2509	78	60	22193	67	1012	1298	3407	8406	896	164	12938
충청남도	4400	태안군	52224	28189	27105	1084	24035	49	673	53	999	61	31	9786	40	370	547	1664	6350	313	150	6019
충청남도	4400	금산군	46881	22747	21902	845	24134	130	679	343	797	128	73	5443	52	268	479	4836	3331	489	124	4730
충청남도	4400	연기군	62783	28523	27790	733	34260	82	701	53	1464	77	76	13012	40	363	688	1845	3164	298	74	5853
충청남도	4400	논산시	102326	50255	48463	1792	52071	263	1952	1578	2588	218	110	13964	95	614	1073	3422	9382	1017	323	11864
충청남도	4400	계룡시	26868	13402	13273	129	13466	28	389	88	386	17	5	2822	10	215	516	1471	2476	122	27	4701
충청남도	4400	부여군	63242	35224	34000	1224	28018	105	739	44	1261	47	31	16744	48	411	578	1874	2621	374	106	9017
충청남도	4400	서천군	50516	26133	25330	803	24383	46	752	36	1062	39	23	9720	34	314	427	1404	4598	332	92	6451
충청남도	4400	홍성군	70372	40099	38542	1557	30273	57	733	51	1448	45	47	14027	66	561	1074	2237	3092	535	133	14436
충청남도	4400	청양군	27910	16649	16009	640	11261	34	356	24	537	24	25	8013	30	202	239	794	1047	440	80	4164
충청남도	4400	예산군	71878	42872	41408	1464	29006	44	649	30	1374	55	39	25572	42	439	669	1395	1949	243	91	8817
충청남도	4400	당진군	106887	50931	49537	1394	55956	137	1613	90	2276	79	45	20048	47	1302	1133	3485	4404	408	105	14365
전라북도	4500	전주시완산구	256715	111898	110214	1684	144817	385	5815	198	6571	154	57	1875	118	3848	4460	2554	72571	1538	220	9850
전라북도	4500	전주시덕진구	204170	89327	87950	1377	114843	172	5997	126	5806	110	35	1376	66	4044	3462	2208	55815	1213	164	7356
전라북도	4500	군산시	200010	95623	93169	2454	104387	2221	5008	136	6546	132	61	1444	70	1772	2620	2114	57861	876	275	12033
전라북도	4500	익산시	234555	99513	97520	1993	135042	1149	5417	535	8155	160	57	1395	111	2016	2984	2122	62745	1211	313	9150
전라북도	4500	정읍시	97189	55821	53941	1880	41368	2907	1780	164	4743	135	75	719	91	797	1127	1038	35462	1224	410	3269
전라북도	4500	남원시	69690	41533	40151	1382	28157	98	2308	75	2493	116	60	563	72	673	743	793	26961	1055	427	3714
전라북도	4500	김제시	79315	39102	38147	955	40213	658	1600	158	3502	67	33	561	53	679	903	840	24290	1032	215	3556
전라북도	4500	완주군	66180	31257	30353	904	34923	1682	1451	109	3856	93	47	446	49	636	837	640	17641	439	165	2262
