광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	가자희망2080	공화당	구국총연합	국민통합21	기독당	노년권익보호당	녹색사민당	민주노동당	민주화합당	사회당	새천년민주당	열린우리당	자민련	한나라당
대전광역시	3000	서구	351860	209647	207870	1777	142213	174	140	37	755	2174	260	530	24784	128	396	6516	87939	29916	54121
대전광역시	3000	유성구	132670	82434	81676	758	50236	56	60	20	476	907	107	270	11284	64	118	2516	36979	8205	20614
대전광역시	3000	대덕구	160033	93577	92399	1178	66456	147	92	27	292	975	105	600	12351	112	145	2653	41440	13854	19606
울산광역시	3100	중구	167321	97842	96864	978	69479	104	124	25	1963	720	117	503	19022	93	611	1137	30106	721	41618
울산광역시	3100	남구	241348	145274	144124	1150	96074	86	63	21	3043	914	163	1334	28138	148	178	2270	45382	1204	61180
울산광역시	3100	동구	130210	87957	86990	967	42253	66	68	38	17976	640	129	210	21899	179	135	1855	25284	1094	17417
울산광역시	3100	북구	87860	58500	57904	596	29360	27	21	7	1207	536	61	217	20498	90	103	619	16622	253	17643
울산광역시	3100	울주군	124595	76092	74670	1422	48503	72	75	43	2027	653	132	2439	11299	102	220	993	26179	613	29823
경기도	4100	수원시장안구	199510	123667	122625	1042	75843	84	69	24	361	1262	173	588	20157	119	137	6393	48312	2468	42478
경기도	4100	수원시권선구	198572	113997	113012	985	84575	125	77	19	498	1178	167	507	16359	102	124	6005	46134	2213	39504
경기도	4100	수원시팔달구	161109	91129	90234	895	69980	83	72	17	313	924	155	480	11804	81	106	4672	35852	1894	33781
경기도	4100	수원시영통구	161126	102136	101571	565	58990	100	64	9	245	945	99	465	16320	41	87	4623	41454	1567	35552
경기도	4100	성남시수정구	199098	108926	107860	1066	90172	113	385	92	336	1328	138	464	15715	126	125	9114	47725	2235	29964
경기도	4100	성남시중원구	203254	110013	108670	1343	93241	351	84	34	1071	1469	191	595	17396	155	156	9448	47040	2135	28545
경기도	4100	성남시분당구	305763	207841	206697	1144	97922	115	70	27	594	2106	323	532	22662	86	122	11747	69860	3271	95182
경기도	4100	의정부시	284634	166141	164514	1627	118493	213	108	29	432	1865	254	679	22188	172	146	8980	68640	2908	57900
경기도	4100	안양시만안구	195214	115634	114564	1070	79580	112	122	36	479	1475	151	518	15799	86	289	6149	47260	3340	38748
경기도	4100	안양시동안구	245166	164383	163237	1146	80783	93	71	22	438	2010	220	607	23402	114	163	9705	64331	3480	58581
경기도	4100	부천시원미구	312985	188520	187062	1458	124465	113	94	28	627	2342	265	598	26593	160	198	13673	77663	4168	60540
경기도	4100	부천시소사구	157411	96152	95110	1042	61259	69	62	16	285	1208	186	334	12251	95	109	6798	39501	2256	31940
경기도	4100	부천시오정구	134043	72754	71868	886	61289	58	48	7	204	1346	108	260	9127	105	78	6034	32625	1412	20456
경기도	4100	광명시	243267	151085	149675	1410	92182	109	77	26	448	2523	227	517	20995	144	168	11820	62508	3983	46130
경기도	4100	평택시	261021	149177	147085	2092	111844	132	141	51	762	1579	278	1204	24585	233	265	6583	58075	3161	50036
경기도	4100	동두천시	55724	31952	31341	611	23772	36	32	9	99	294	63	155	3338	62	87	1706	12341	432	12687
경기도	4100	양주시	106866	60561	59526	1035	46305	57	49	12	198	811	150	213	6630	86	113	3453	25638	945	21171
경기도	4100	안산시상록구	236731	130826	129518	1308	105905	270	77	28	418	1694	209	857	18426	155	134	10095	57233	2518	37404
경기도	4100	안산시단원구	211274	114271	113024	1247	97003	74	60	30	386	1282	187	922	16503	110	135	8209	48684	2210	34232
경기도	4100	고양시덕양구	273238	166184	164776	1408	107054	80	80	28	523	2547	255	541	24083	170	159	10637	64440	2611	58622
경기도	4100	고양시일산구	333136	216348	214938	1410	116788	132	89	25	658	2688	331	590	30336	142	182	12440	80466	3148	83711
경기도	4100	과천시	48892	34016	33785	231	14876	18	17	4	99	385	53	106	5384	18	43	1934	11866	591	13267
경기도	4100	의왕시	101900	65876	65363	513	36024	33	40	12	179	792	113	292	9597	55	74	3971	26180	1494	22531
경기도	4100	구리시	136469	83565	82760	805	52904	41	40	13	237	1034	120	217	11734	85	108	6020	32457	1454	29200
경기도	4100	남양주시	288781	166631	164673	1958	122150	162	148	55	818	2376	299	613	20319	216	270	10673	67414	2793	58517
경기도	4100	오산시	82237	45794	45211	583	36443	28	28	16	124	570	88	410	6794	68	66	1874	19477	1130	14538
경기도	4100	화성시	176242	96774	95446	1328	79468	152	124	40	570	1117	174	460	13736	147	202	4444	38525	2368	33387
경기도	4100	시흥시	250493	137279	135984	1295	113214	89	78	20	339	2301	195	588	18664	133	160	8300	61677	2648	40792
경기도	4100	군포시	192874	124724	123784	940	68150	73	57	17	330	1851	191	736	20915	111	138	7499	47922	2669	41275
경기도	4100	하남시	96080	57107	56476	631	38973	113	42	14	450	800	115	273	6174	59	73	3880	21681	980	21822
경기도	4100	파주시	175232	101614	100053	1561	73618	237	463	38	430	1444	172	447	10778	161	215	4496	38713	1978	40481
경기도	4100	이천시	133983	73024	71894	1130	60959	92	76	30	411	951	116	1589	8594	133	125	5281	29133	1143	24220
경기도	4100	용인시	420597	259598	257397	2201	160999	366	161	54	1226	3331	423	926	29939	225	302	13245	97870	4510	104819
경기도	4100	안성시	111888	66397	65075	1322	45491	64	83	44	292	751	153	529	8903	155	161	3143	26829	1448	22520
경기도	4100	김포시	147876	91602	90597	1005	56274	77	304	73	399	1072	166	412	10457	91	125	4650	36494	1704	34573
경기도	4100	여주군	77092	45460	44430	1030	31632	33	36	19	251	540	103	421	4982	98	137	1775	15901	618	19516
경기도	4100	광주시	141745	84826	83706	1120	56919	61	59	17	243	1166	154	330	9240	87	125	5849	33357	1430	31588
경기도	4100	포천시	108882	60899	59604	1295	47983	64	81	43	239	761	120	218	5775	141	161	2828	24983	2215	21975
경기도	4100	연천군	38504	23932	23265	667	14572	45	40	23	114	247	61	86	2086	94	113	1125	9265	1833	8133
