광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
경기도	용인시기흥구	합계	합계	319811	261414	58397	646	260768	116017	53405	55393	18992	16026	411	13	111	45	141	41	61	112
경기도	안성시	합계	합계	148171	106490	41681	471	106019	39380	26693	25193	6427	7651	158	36	94	33	137	38	65	114
경기도	김포시	합계	합계	290415	225075	65340	703	224372	93697	48490	51081	15614	14517	309	41	131	53	152	58	69	160
경기도	광주시	합계	합계	268162	199221	68941	714	198507	80175	45030	46829	12629	12860	274	36	101	44	181	68	61	219
경기도	포천시	합계	합계	128917	90620	38297	545	90075	27632	28030	22505	5781	5529	114	29	69	36	108	46	62	134
경기도	연천군	합계	합계	38909	28675	10234	225	28450	8384	9557	6805	1901	1581	41	10	28	21	21	18	33	50
경기도	가평군	합계	합계	53480	38897	14583	309	38588	10873	13865	9089	2231	2103	99	25	48	36	45	50	50	74
경기도	양평군	합계	합계	95097	71056	24041	387	70669	21329	24800	15653	4216	4194	157	14	52	26	31	34	77	86
강원도	춘천시	합계	합계	229286	175879	53407	763	175116	66874	43494	38684	12402	12758	251	27	104	62	103	60	110	187
강원도	강릉시	합계	합계	178461	132395	46066	683	131712	41565	44421	26895	9690	8368	195	19	91	43	99	63	113	150
강원도	원주시	합계	합계	273858	204233	69625	838	203395	77495	50750	45776	13797	14406	319	47	157	44	198	82	109	215
강원도	동해시	합계	합계	76059	55542	20517	273	55269	17184	19009	11345	3917	3406	95	9	47	24	69	38	38	88
강원도	삼척시	합계	합계	59080	44097	14983	299	43798	13496	15971	8185	2878	2898	52	13	38	21	41	42	77	86
강원도	태백시	합계	합계	39001	28101	10900	149	27952	9557	10046	4971	1468	1736	30	8	24	10	28	12	35	27
강원도	정선군	합계	합계	33408	23859	9549	152	23707	8270	8323	4489	1170	1215	32	15	22	7	35	19	46	64
강원도	속초시	합계	합계	67471	46985	20486	209	46776	15045	13883	11031	3422	3143	73	9	28	14	23	20	33	52
강원도	고성군	합계	합계	25637	18692	6945	171	18521	5664	6511	3964	1239	979	23	8	27	5	16	12	26	47
강원도	양양군	합계	합계	23853	17853	6000	120	17733	5017	6687	3868	1044	954	37	12	22	14	14	18	22	24
강원도	인제군	합계	합계	27251	20751	6500	210	20541	6574	6009	4759	1665	1311	32	13	23	13	21	28	24	69
강원도	홍천군	합계	합계	59882	43648	16234	286	43362	13851	13549	10023	2879	2687	60	20	49	17	81	36	47	63
강원도	횡성군	합계	합계	39885	29447	10438	166	29281	8833	10423	6479	1675	1612	64	8	31	7	37	27	41	44
강원도	영월군	합계	합계	34905	25925	8980	141	25784	8067	8779	5753	1532	1424	40	8	24	12	34	25	47	39
강원도	평창군	합계	합계	37478	27444	10034	160	27284	8591	9348	5998	1547	1588	33	9	26	8	22	34	38	42
강원도	화천군	합계	합계	22164	17083	5081	192	16891	5161	5019	4000	1441	1113	32	8	21	2	14	18	21	41
강원도	양구군	합계	합계	19610	14848	4762	162	14686	4526	4250	3519	1287	944	16	7	19	8	19	24	27	40
강원도	철원군	합계	합계	39884	29103	10781	275	28828	8998	8437	7101	2225	1847	42	12	34	10	22	12	16	72
충청북도	청주시상당구	합계	합계	140080	106316	33764	467	105849	42308	27108	21983	6509	7306	132	27	60	44	95	63	87	127
충청북도	청주시서원구	합계	합계	174200	134980	39220	532	134448	56521	30471	28912	8459	9454	157	30	73	48	103	56	50	114
충청북도	청주시흥덕구	합계	합계	202801	153064	49737	679	152385	66281	31023	32756	9951	11601	144	40	74	73	123	60	71	188
충청북도	청주시청원구	합계	합계	150781	115327	35454	451	114876	50487	24026	24203	7285	8249	114	29	73	34	95	63	67	151
충청북도	충주시	합계	합계	172800	127426	45374	641	126785	43551	38532	28588	7233	8115	151	33	85	44	89	88	129	147
충청북도	제천시	합계	합계	113835	84700	29135	491	84209	28517	26977	17768	5085	5249	99	19	76	40	64	74	106	135
충청북도	단양군	합계	합계	26699	19905	6794	125	19780	5708	7901	4026	978	964	44	10	18	9	11	49	43	19
충청북도	영동군	합계	합계	43884	32554	11330	210	32344	10432	10958	7017	1726	1873	42	18	35	17	50	29	70	77
충청북도	보은군	합계	합계	30016	22341	7675	159	22182	7268	7587	4910	1015	1135	38	14	32	14	22	35	65	47
충청북도	옥천군	합계	합계	44730	33175	11555	239	32936	11181	10431	7465	1552	1905	57	23	53	20	51	52	79	67
충청북도	음성군	합계	합계	81508	56788	24720	375	56413	20723	15180	13381	2988	3671	76	31	57	27	59	44	72	104
충청북도	진천군	합계	합계	57571	41255	16316	224	41031	15844	10265	9489	2239	2925	53	12	36	15	31	21	30	71
충청북도	괴산군	합계	합계	34611	25824	8787	151	25673	7876	9435	5830	1063	1198	29	14	31	19	30	39	55	54
충청북도	증평군	합계	합계	30172	21786	8386	138	21648	8109	5608	5126	1199	1450	17	8	19	17	17	13	19	46
