광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민중심당	민주노동당	민주당	시민당	열린우리당	한나라당	한미준	희망사회당
경기도	4100	수원시장안구	206015	98090	97175	915	107925	668	12821	5715	0	20800	56733	0	438
경기도	4100	수원시권선구	217455	97488	96538	950	119967	830	12167	4924	0	21113	56977	0	527
경기도	4100	수원시팔달구	166662	72027	71191	836	94635	446	7832	4066	0	15015	43445	0	387
경기도	4100	수원시영통구	173454	82010	81414	596	91444	442	10549	3560	0	18738	47824	0	301
경기도	4100	성남시수정구	206678	84874	83764	1110	121804	950	11594	10380	0	20397	39991	0	452
경기도	4100	성남시중원구	207205	82653	81621	1032	124552	535	11984	10742	0	18513	39393	0	454
경기도	4100	성남시분당구	330404	164185	162962	1223	166219	634	13623	9017	0	27769	111428	0	491
경기도	4100	의정부시	299556	130371	129037	1334	169185	588	13834	6139	0	31967	75880	0	629
경기도	4100	안양시만안구	204688	95585	94575	1010	109103	788	10488	7011	0	22268	53501	0	519
경기도	4100	안양시동안구	259321	134640	133417	1223	124681	1021	14537	8676	0	30426	78248	0	509
경기도	4100	부천시원미구	327003	143405	142116	1289	183598	1454	15602	10023	0	33984	80384	0	669
경기도	4100	부천시소사구	170625	78652	77743	909	91973	981	8484	6038	0	16967	44906	0	367
경기도	4100	부천시오정구	137195	53685	53012	673	83510	565	5240	6334	0	13040	27587	0	246
경기도	4100	광명시	239187	112868	111643	1225	126319	1469	12405	11883	0	25743	59644	0	499
경기도	4100	평택시	284458	139664	137554	2110	144794	2702	21634	5608	0	28513	78068	0	1029
경기도	4100	양주시	121097	61139	59965	1174	59958	372	5443	3583	0	14069	35568	0	930
경기도	4100	동두천시	63655	33133	32404	729	30522	180	2399	1512	0	8459	19554	0	300
경기도	4100	안산시상록구	253921	102637	101547	1090	151284	985	13847	9088	0	23669	53401	0	557
경기도	4100	안산시단원구	230496	94603	93556	1047	135893	930	12539	8107	0	21682	49869	0	429
경기도	4100	고양시덕양구	287230	130060	128723	1337	157170	596	13617	9314	0	28995	75560	0	641
경기도	4100	고양시일산동구	162750	73918	73277	641	88832	311	7063	4221	0	15638	45737	0	307
경기도	4100	고양시일산서구	201819	95295	94502	793	106524	447	9316	5420	0	20875	58066	0	378
경기도	4100	과천시	43524	25788	25539	249	17736	127	2776	1243	0	5607	15716	0	70
경기도	4100	의왕시	105917	53779	53256	523	52138	543	5304	3701	0	12469	30967	0	272
경기도	4100	구리시	140385	68673	67909	764	71712	337	7024	4409	0	16536	39232	0	371
경기도	4100	남양주시	336528	148531	146688	1843	187997	888	16461	9866	0	30796	87757	0	920
경기도	4100	오산시	94380	45851	45176	675	48529	1056	5027	2662	0	10930	25120	0	381
경기도	4100	화성시	223162	100405	98868	1537	122757	678	12046	4049	0	21504	59821	0	770
경기도	4100	시흥시	271413	109489	108318	1171	161924	830	13113	9599	0	26305	57677	0	794
경기도	4100	군포시	203276	103780	102901	879	99496	989	12301	6797	0	25407	57052	0	355
경기도	4100	하남시	103677	52353	51530	823	51324	389	5524	4010	0	10255	30912	0	440
경기도	4100	파주시	206376	98469	96792	1677	107907	546	7678	3760	0	20262	63334	0	1212
경기도	4100	여주군	79881	41534	40500	1034	38347	700	3867	1217	0	8681	25569	0	466
경기도	4100	이천시	140754	66684	65410	1274	74070	530	6158	3275	0	14183	40656	0	608
경기도	4100	용인시처인구	146083	67524	66277	1247	78559	455	5370	3008	0	16547	40429	0	468
경기도	4100	용인시수지구	196871	97192	96546	646	99679	338	7902	4086	0	18401	65572	0	247
경기도	4100	용인시기흥구	175478	84667	83837	830	90811	526	7955	3858	0	18448	52736	0	314
경기도	4100	안성시	119170	64430	63089	1341	54740	776	8153	2098	0	15388	35791	0	883
경기도	4100	김포시	152704	77094	75962	1132	75610	403	5822	4291	0	16989	47883	0	574
경기도	4100	광주시	161569	73074	72028	1046	88495	390	5534	6186	0	15071	44477	0	370
경기도	4100	포천시	117916	59908	58468	1440	58008	457	4330	2245	0	13498	37064	0	874
경기도	4100	연천군	36970	22967	22268	699	14003	268	1560	1258	0	5575	13134	0	473
경기도	4100	양평군	68290	42692	41521	1171	25598	475	3176	1769	0	7341	28034	0	726
경기도	4100	가평군	43630	29655	28641	1014	13975	313	2014	1206	0	6063	18461	0	584
강원도	4200	춘천시	192644	104119	101533	2586	88525	0	18321	0	0	24956	58256	0	0
강원도	4200	원주시	215770	106892	104639	2253	108878	0	14379	0	0	25485	64775	0	0
강원도	4200	강릉시	171138	92505	90609	1896	78633	0	9540	0	0	17196	63873	0	0
강원도	4200	동해시	74884	43269	42133	1136	31615	0	4814	0	0	8403	28916	0	0
강원도	4200	삼척시	57751	39786	38260	1526	17965	0	4523	0	0	8030	25707	0	0
강원도	4200	태백시	41345	27806	27107	699	13539	0	2940	0	0	6923	17244	0	0
강원도	4200	정선군	35948	25156	24431	725	10792	0	2374	0	0	7817	14240	0	0
강원도	4200	속초시	64750	34118	33357	761	30632	0	3802	0	0	7852	21703	0	0
강원도	4200	고성군	25708	18722	17889	833	6986	0	1685	0	0	4942	11262	0	0
강원도	4200	양양군	23582	16898	16158	740	6684	0	1977	0	0	3791	10390	0	0
강원도	4200	인제군	25130	18225	17593	632	6905	0	1730	0	0	5825	10038	0	0
강원도	4200	홍천군	55429	33769	32703	1066	21660	0	3710	0	0	9839	19154	0	0
강원도	4200	횡성군	35200	24117	23240	877	11083	0	3033	0	0	6977	13230	0	0
강원도	4200	영월군	33449	22725	22144	581	10724	0	1951	0	0	7536	12657	0	0
강원도	4200	평창군	36045	23370	22812	558	12675	0	2051	0	0	7515	13246	0	0
강원도	4200	화천군	18404	13078	12530	548	5326	0	2030	0	0	3182	7318	0	0
강원도	4200	양구군	16454	12040	11443	597	4414	0	1859	0	0	2894	6690	0	0
강원도	4200	철원군	37346	24932	24175	757	12414	0	3461	0	0	6622	14092	0	0
충청북도	4300	청주시상당구	188493	89042	87684	1358	99451	3668	11009	0	0	23116	49891	0	0
충청북도	4300	청주시흥덕구	269249	121819	120100	1719	147430	4592	16622	0	0	32863	66023	0	0
충청북도	4300	충주시	155769	83465	81472	1993	72304	2067	8261	0	0	24601	46543	0	0
충청북도	4300	제천시	105920	60203	58766	1437	45717	1588	8569	0	0	15205	33404	0	0
충청북도	4300	단양군	27458	19534	18878	656	7924	670	1665	0	0	5660	10883	0	0
충청북도	4300	청원군	95259	53190	51676	1514	42069	4382	5068	0	0	16569	25657	0	0
충청북도	4300	영동군	41700	29568	28566	1002	12132	887	2687	0	0	9803	15189	0	0
충청북도	4300	보은군	30273	22889	22126	763	7384	1415	1907	0	0	8778	10026	0	0
충청북도	4300	옥천군	44454	31349	30166	1183	13105	1531	3070	0	0	10907	14658	0	0
충청북도	4300	음성군	66010	38459	37155	1304	27551	1407	4982	0	0	10721	20045	0	0
충청북도	4300	진천군	46069	28090	27202	888	17979	811	4863	0	0	7889	13639	0	0
충청북도	4300	괴산군	32511	23934	22706	1228	8577	1272	3766	0	0	6170	11498	0	0
충청북도	4300	증평군	23117	14516	14022	494	8601	565	1834	0	0	3924	7699	0	0
충청남도	4400	천안시	372195	162678	160405	2273	209517	26746	20309	0	0	32342	81008	0	0
충청남도	4400	공주시	100960	61078	59199	1879	39882	25640	4232	0	0	12137	17190	0	0
충청남도	4400	보령시	84236	52538	50820	1718	31698	16244	3822	0	0	10332	20422	0	0
충청남도	4400	아산시	156817	74768	72857	1911	82049	18727	8679	0	0	12705	32746	0	0
충청남도	4400	서산시	112204	61308	59717	1591	50896	18812	6209	0	0	12565	22131	0	0
충청남도	4400	태안군	51770	35082	33706	1376	16688	12482	2059	0	0	7619	11546	0	0
충청남도	4400	금산군	47627	32266	31122	1144	15361	11294	1828	0	0	6170	11830	0	0
충청남도	4400	연기군	65548	39858	38715	1143	25690	12892	2209	0	0	12751	10863	0	0
충청남도	4400	논산시	104305	57833	55884	1949	46472	22602	3631	0	0	12150	17501	0	0
충청남도	4400	계룡시	24442	15356	15116	240	9086	3783	775	0	0	3006	7552	0	0
충청남도	4400	부여군	65087	41902	40139	1763	23185	15523	3312	0	0	6354	14950	0	0
충청남도	4400	서천군	52107	37465	35915	1550	14642	11669	2449	0	0	10302	11495	0	0
충청남도	4400	홍성군	71168	44370	42738	1632	26798	10902	2556	0	0	7282	21998	0	0
충청남도	4400	청양군	28517	21470	20666	804	7047	7632	1573	0	0	2566	8895	0	0
충청남도	4400	예산군	72864	44386	43154	1232	28478	9538	2273	0	0	5786	25557	0	0
충청남도	4400	당진군	93393	55972	54263	1709	37421	17377	4553	0	0	11395	20938	0	0
전라북도	4500	전주시완산구	252082	121289	119334	1955	130793	0	17421	44945	0	48214	8754	0	0
전라북도	4500	전주시덕진구	198612	94134	92615	1519	104478	0	15458	33060	0	37453	6644	0	0
전라북도	4500	군산시	198467	111756	107822	3934	86711	0	15872	41702	0	38635	11613	0	0
전라북도	4500	익산시	235847	123054	119711	3343	112793	0	17431	46065	0	46974	9241	0	0
전라북도	4500	정읍시	99727	62079	60116	1963	37648	0	9905	22520	0	24269	3422	0	0
전라북도	4500	남원시	72197	50208	48577	1631	21989	0	4742	18969	0	21723	3143	0	0
전라북도	4500	김제시	82928	55586	53375	2211	27342	0	8340	19095	0	22023	3917	0	0
전라북도	4500	완주군	66720	41558	40335	1223	25162	0	6533	16072	0	15444	2286	0	0
전라북도	4500	진안군	23432	17524	16780	744	5908	0	2226	4589	0	8399	1566	0	0
전라북도	4500	무주군	21301	16835	16035	800	4466	0	1948	4394	0	7771	1922	0	0
전라북도	4500	장수군	20567	16462	15835	627	4105	0	2961	4441	0	7273	1160	0	0
전라북도	4500	임실군	27747	21428	20639	789	6319	0	2361	7713	0	8967	1598	0	0
전라북도	4500	순창군	25579	19723	18956	767	5856	0	2494	5159	0	10068	1235	0	0
전라북도	4500	고창군	51732	37864	36451	1413	13868	0	6020	16398	0	11845	2188	0	0
전라북도	4500	부안군	52694	37860	35928	1932	14834	0	6059	17251	0	9520	3098	0	0
전라남도	4600	목포시	176932	88357	86587	1770	88575	0	11071	54542	0	17475	3499	0	0
전라남도	4600	여수시	224001	122804	120182	2622	101197	0	13760	62095	0	38139	6188	0	0
전라남도	4600	순천시	194227	105388	102977	2411	88839	0	14416	56313	0	26506	5742	0	0
전라남도	4600	나주시	79340	55199	52858	2341	24141	0	7293	34242	0	8848	2475	0	0
