광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민참여당	미래연합	민주노동당	민주당	사회당	자유선진당	진보신당	친박연합	평화민주당	한나라당
광주광역시	2900	서구	222260	113767	111528	2239	108493	14712	0	21341	59881	207	0	4554	0	1492	9341
광주광역시	2900	남구	164726	87052	85059	1993	77674	9545	0	12780	49888	255	0	3639	0	1362	7590
광주광역시	2900	북구	351029	168003	165241	2762	183026	20769	0	26891	93576	397	0	8289	0	2050	13269
광주광역시	2900	광산구	242692	117053	114918	2135	125639	16652	0	21596	62372	322	0	4916	0	1297	7763
대전광역시	3000	동구	195072	97966	95754	2212	97106	3134	0	2670	27340	223	37279	1126	0	475	23507
대전광역시	3000	중구	206384	109740	107705	2035	96644	3028	0	2359	28373	178	42539	1366	0	468	29394
대전광역시	3000	서구	375073	197464	194322	3142	177609	7884	0	3994	60104	283	71836	2982	0	597	46642
대전광역시	3000	유성구	193868	109666	108220	1446	84202	6125	0	3131	34639	140	35430	2295	0	279	26181
대전광역시	3000	대덕구	157150	81898	80227	1671	75252	2231	0	2700	24420	183	29796	926	0	301	19670
울산광역시	3100	중구	178158	98144	95787	2357	80014	6951	1857	31440	0	731	0	5781	0	0	49027
울산광역시	3100	남구	258699	137145	134709	2436	121554	11559	2994	44198	0	645	0	8653	0	0	66660
울산광역시	3100	동구	132325	76514	75295	1219	55811	4324	887	30805	0	349	0	4624	0	0	34306
울산광역시	3100	북구	122563	67957	67009	948	54606	3796	767	29104	0	396	0	5270	0	0	27676
울산광역시	3100	울주군	147060	82376	80191	2185	64684	10721	1811	21786	0	704	0	3605	0	0	41564
경기도	4100	수원시장안구	218041	118517	116931	1586	99524	11827	1590	7349	45425	263	2311	2719	0	0	45447
경기도	4100	수원시권선구	229747	113510	112018	1492	116237	11673	1606	5957	43226	302	2585	2622	0	0	44047
경기도	4100	수원시팔달구	174518	85683	84417	1266	88835	8140	1115	4279	31130	225	1834	2269	0	0	35425
