광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	득표수	후보명	정당
부산광역시	2600	부산진구	324855	200613	199973	640	124242	26287	정동영	대통합민주신당
부산광역시	2600	동래구	225283	144883	144475	408	80400	16957	정동영	대통합민주신당
부산광역시	2600	남구	237462	148749	148321	428	88713	19494	정동영	대통합민주신당
부산광역시	2600	북구	247521	154739	154195	544	92782	22441	정동영	대통합민주신당
부산광역시	2600	해운대구	322575	202750	202202	548	119825	26921	정동영	대통합민주신당
부산광역시	2600	기장군	62272	38759	38575	184	23513	4951	정동영	대통합민주신당
부산광역시	2600	사하구	283276	171149	170518	631	112127	24215	정동영	대통합민주신당
부산광역시	2600	금정구	206527	131508	131092	416	75019	15925	정동영	대통합민주신당
부산광역시	2600	강서구	43825	25623	25435	188	18202	3700	정동영	대통합민주신당
부산광역시	2600	연제구	169739	108433	108080	353	61306	13445	정동영	대통합민주신당
부산광역시	2600	수영구	144300	91170	90948	222	53130	10807	정동영	대통합민주신당
부산광역시	2600	사상구	208350	126302	125840	462	82048	20237	정동영	대통합민주신당
부산광역시	2600	중구	42111	25584	25464	120	16527	15672	이명박	한나라당
부산광역시	2600	서구	109489	65288	65010	278	44201	39620	이명박	한나라당
부산광역시	2600	동구	87511	54017	53798	219	33494	31708	이명박	한나라당
부산광역시	2600	영도구	127967	75664	75326	338	52303	41811	이명박	한나라당
부산광역시	2600	부산진구	324855	200613	199973	640	124242	115334	이명박	한나라당
부산광역시	2600	동래구	225283	144883	144475	408	80400	86308	이명박	한나라당
부산광역시	2600	남구	237462	148749	148321	428	88713	86574	이명박	한나라당
부산광역시	2600	북구	247521	154739	154195	544	92782	84137	이명박	한나라당
부산광역시	2600	해운대구	322575	202750	202202	548	119825	118502	이명박	한나라당
부산광역시	2600	기장군	62272	38759	38575	184	23513	22799	이명박	한나라당
부산광역시	2600	사하구	283276	171149	170518	631	112127	98782	이명박	한나라당
부산광역시	2600	금정구	206527	131508	131092	416	75019	77336	이명박	한나라당
부산광역시	2600	강서구	43825	25623	25435	188	18202	14549	이명박	한나라당
부산광역시	2600	연제구	169739	108433	108080	353	61306	63080	이명박	한나라당
부산광역시	2600	수영구	144300	91170	90948	222	53130	54832	이명박	한나라당
부산광역시	2600	사상구	208350	126302	125840	462	82048	67671	이명박	한나라당
부산광역시	2600	중구	42111	25584	25464	120	16527	516	권영길	민주노동당
부산광역시	2600	서구	109489	65288	65010	278	44201	1566	권영길	민주노동당
부산광역시	2600	동구	87511	54017	53798	219	33494	1384	권영길	민주노동당
부산광역시	2600	영도구	127967	75664	75326	338	52303	2481	권영길	민주노동당
부산광역시	2600	부산진구	324855	200613	199973	640	124242	5511	권영길	민주노동당
부산광역시	2600	동래구	225283	144883	144475	408	80400	3669	권영길	민주노동당
부산광역시	2600	남구	237462	148749	148321	428	88713	4181	권영길	민주노동당
부산광역시	2600	북구	247521	154739	154195	544	92782	4895	권영길	민주노동당
부산광역시	2600	해운대구	322575	202750	202202	548	119825	5531	권영길	민주노동당
부산광역시	2600	기장군	62272	38759	38575	184	23513	1311	권영길	민주노동당
부산광역시	2600	사하구	283276	171149	170518	631	112127	4806	권영길	민주노동당
부산광역시	2600	금정구	206527	131508	131092	416	75019	3704	권영길	민주노동당
부산광역시	2600	강서구	43825	25623	25435	188	18202	722	권영길	민주노동당
부산광역시	2600	연제구	169739	108433	108080	353	61306	2905	권영길	민주노동당
부산광역시	2600	수영구	144300	91170	90948	222	53130	2069	권영길	민주노동당
부산광역시	2600	사상구	208350	126302	125840	462	82048	3650	권영길	민주노동당
부산광역시	2600	중구	42111	25584	25464	120	16527	65	이인제	민주당
부산광역시	2600	서구	109489	65288	65010	278	44201	169	이인제	민주당
부산광역시	2600	동구	87511	54017	53798	219	33494	150	이인제	민주당
부산광역시	2600	영도구	127967	75664	75326	338	52303	221	이인제	민주당
부산광역시	2600	부산진구	324855	200613	199973	640	124242	558	이인제	민주당
부산광역시	2600	동래구	225283	144883	144475	408	80400	313	이인제	민주당
부산광역시	2600	남구	237462	148749	148321	428	88713	367	이인제	민주당
부산광역시	2600	북구	247521	154739	154195	544	92782	433	이인제	민주당
부산광역시	2600	해운대구	322575	202750	202202	548	119825	441	이인제	민주당
부산광역시	2600	기장군	62272	38759	38575	184	23513	99	이인제	민주당
부산광역시	2600	사하구	283276	171149	170518	631	112127	446	이인제	민주당
부산광역시	2600	금정구	206527	131508	131092	416	75019	329	이인제	민주당
부산광역시	2600	강서구	43825	25623	25435	188	18202	99	이인제	민주당
부산광역시	2600	연제구	169739	108433	108080	353	61306	244	이인제	민주당
부산광역시	2600	수영구	144300	91170	90948	222	53130	206	이인제	민주당
부산광역시	2600	사상구	208350	126302	125840	462	82048	459	이인제	민주당
부산광역시	2600	중구	42111	25584	25464	120	16527	1208	문국현	창조한국당
부산광역시	2600	서구	109489	65288	65010	278	44201	3025	문국현	창조한국당
부산광역시	2600	동구	87511	54017	53798	219	33494	2402	문국현	창조한국당
부산광역시	2600	영도구	127967	75664	75326	338	52303	3613	문국현	창조한국당
부산광역시	2600	부산진구	324855	200613	199973	640	124242	10608	문국현	창조한국당
부산광역시	2600	동래구	225283	144883	144475	408	80400	7919	문국현	창조한국당
부산광역시	2600	남구	237462	148749	148321	428	88713	7962	문국현	창조한국당
부산광역시	2600	북구	247521	154739	154195	544	92782	8836	문국현	창조한국당
부산광역시	2600	해운대구	322575	202750	202202	548	119825	11234	문국현	창조한국당
부산광역시	2600	기장군	62272	38759	38575	184	23513	1684	문국현	창조한국당
부산광역시	2600	사하구	283276	171149	170518	631	112127	9619	문국현	창조한국당
부산광역시	2600	금정구	206527	131508	131092	416	75019	7393	문국현	창조한국당
부산광역시	2600	강서구	43825	25623	25435	188	18202	994	문국현	창조한국당
부산광역시	2600	연제구	169739	108433	108080	353	61306	6072	문국현	창조한국당
부산광역시	2600	수영구	144300	91170	90948	222	53130	4961	문국현	창조한국당
부산광역시	2600	사상구	208350	126302	125840	462	82048	6755	문국현	창조한국당
부산광역시	2600	중구	42111	25584	25464	120	16527	9	정근모	참주인연합
부산광역시	2600	서구	109489	65288	65010	278	44201	31	정근모	참주인연합
부산광역시	2600	동구	87511	54017	53798	219	33494	21	정근모	참주인연합
부산광역시	2600	영도구	127967	75664	75326	338	52303	40	정근모	참주인연합
부산광역시	2600	부산진구	324855	200613	199973	640	124242	81	정근모	참주인연합
부산광역시	2600	동래구	225283	144883	144475	408	80400	53	정근모	참주인연합
부산광역시	2600	남구	237462	148749	148321	428	88713	50	정근모	참주인연합
부산광역시	2600	북구	247521	154739	154195	544	92782	81	정근모	참주인연합
부산광역시	2600	해운대구	322575	202750	202202	548	119825	106	정근모	참주인연합
부산광역시	2600	기장군	62272	38759	38575	184	23513	25	정근모	참주인연합
부산광역시	2600	사하구	283276	171149	170518	631	112127	63	정근모	참주인연합
부산광역시	2600	금정구	206527	131508	131092	416	75019	63	정근모	참주인연합
부산광역시	2600	강서구	43825	25623	25435	188	18202	20	정근모	참주인연합
부산광역시	2600	연제구	169739	108433	108080	353	61306	37	정근모	참주인연합
부산광역시	2600	수영구	144300	91170	90948	222	53130	32	정근모	참주인연합
부산광역시	2600	사상구	208350	126302	125840	462	82048	58	정근모	참주인연합
부산광역시	2600	중구	42111	25584	25464	120	16527	89	허경영	경제공화당
부산광역시	2600	서구	109489	65288	65010	278	44201	251	허경영	경제공화당
부산광역시	2600	동구	87511	54017	53798	219	33494	242	허경영	경제공화당
